Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
BioshockHD.exe,19556,0xA8A6B98,DXGI,0,0,1,Hardware Composed: Independent Flip,44.0542,NA,16.46740000000000,17.54060000000000,13.79360000000000,26.70470000000000,27.7854,41.1745,16.6733,2.8797,13.7936,13.1119,16.4725,2.5135,13.9590,NA,41.1745,NA,28.4585,NA
BioshockHD.exe,19556,0xA8A6B98,DXGI,0,0,1,Hardware Composed: Independent Flip,60.7661,NA,16.71190000000000,15.36910000000000,13.75120000000000,26.43300000000000,26.4426,57.8478,16.6695,2.9183,13.7512,12.9111,16.4402,2.5063,13.9339,1.3042,57.8478,NA,26.8644,NA
BioshockHD.exe,19556,0xA8A6B98,DXGI,0,0,1,Hardware Composed: Independent Flip,77.6937,NA,16.92760000000000,16.49200000000000,13.47960000000000,25.97240000000000,26.0070,74.5173,16.6560,3.1764,13.4796,12.6818,16.4670,2.4816,13.9854,0.1775,74.5173,NA,26.3611,NA
BioshockHD.exe,19556,0xA8A6B98,DXGI,0,0,1,Hardware Composed: Independent Flip,93.9946,NA,16.30090000000000,16.49220000000000,13.85180000000000,26.16100000000000,26.1983,91.1733,16.6731,2.8213,13.8518,12.4928,16.4895,2.5617,13.9278,0.1638,91.1733,NA,26.8472,NA
BioshockHD.exe,19556,0xA8A6B98,DXGI,0,0,1,Hardware Composed: Independent Flip,111.0811,NA,17.08650000000000,16.60440000000000,13.42500000000000,25.68070000000000,25.7162,107.8464,16.6597,3.2347,13.4250,12.3092,16.6062,2.6558,13.9504,0.0687,107.8464,NA,26.4562,NA
BioshockHD.exe,19556,0xA8A6B98,DXGI,0,0,1,Hardware Composed: Independent Flip,127.2816,NA,16.20050000000000,16.78950000000000,13.88970000000000,26.26760000000000,26.3052,124.5061,16.6652,2.7755,13.8897,12.2557,16.7874,2.6003,14.1871,-0.1298,124.5061,NA,27.2419,NA
BioshockHD.exe,19556,0xA8A6B98,DXGI,0,0,1,Hardware Composed: Independent Flip,143.8901,NA,16.60850000000000,16.62330000000000,13.94690000000000,26.23310000000000,26.3200,141.1713,16.6657,2.7188,13.9469,12.3779,16.5740,2.5995,13.9745,0.0419,141.1713,NA,NA,NA
BioshockHD.exe,19556,0xA8A6B98,DXGI,0,0,1,Hardware Composed: Independent Flip,160.3754,NA,16.48530000000000,16.80690000000000,14.12490000000000,26.63330000000000,26.6416,157.8370,16.6633,2.5384,14.1249,12.2862,16.8855,2.6544,14.2311,-0.1412,157.8370,NA,NA,NA
BioshockHD.exe,19556,0xA8A6B98,DXGI,0,0,1,Hardware Composed: Independent Flip,177.0516,NA,16.67620000000000,16.62090000000000,14.11780000000000,26.40650000000000,26.5863,174.5003,16.6691,2.5513,14.1178,12.5084,16.4494,2.5761,13.8733,0.0424,174.5003,NA,NA,NA
BioshockHD.exe,19556,0xA8A6B98,DXGI,0,0,1,Hardware Composed: Independent Flip,193.7213,NA,16.66970000000000,16.41020000000000,14.11640000000000,26.29300000000000,26.3268,191.1694,16.6683,2.5519,14.1164,12.2887,16.5562,2.6266,13.9296,0.2589,191.1694,NA,NA,NA
BioshockHD.exe,19556,0xA8A6B98,DXGI,0,0,1,Hardware Composed: Independent Flip,210.4559,NA,16.73460000000000,16.77050000000000,14.04590000000000,26.25100000000000,26.3627,207.8377,16.6641,2.6182,14.0459,12.1766,16.6926,2.6488,14.0438,-0.1022,207.8377,NA,NA,NA
BioshockHD.exe,19556,0xA8A6B98,DXGI,0,0,1,Hardware Composed: Independent Flip,227.2437,NA,16.78780000000000,16.55900000000000,13.92070000000000,26.06980000000000,26.1339,224.5018,16.6626,2.7419,13.9207,12.2051,16.6066,2.5813,14.0253,0.1051,224.5018,NA,NA,NA
BioshockHD.exe,19556,0xA8A6B98,DXGI,0,0,1,Hardware Composed: Independent Flip,244.1044,NA,16.86070000000000,16.76650000000000,13.76090000000000,26.03080000000000,26.0397,241.1644,16.7009,2.9400,13.7609,12.1491,16.8217,2.6111,14.2106,-0.1039,241.1644,NA,NA,NA
BioshockHD.exe,19556,0xA8A6B98,DXGI,0,0,1,Hardware Composed: Independent Flip,260.8130,NA,16.70860000000000,16.56770000000000,13.68920000000000,25.86400000000000,25.8988,257.8653,16.6369,2.9477,13.6892,12.2699,16.5418,2.8338,13.7080,0.1332,257.8653,NA,NA,NA
BioshockHD.exe,19556,0xA8A6B98,DXGI,0,0,1,Hardware Composed: Independent Flip,277.1550,NA,16.34200000000000,16.58030000000000,14.01140000000000,26.10300000000000,26.1371,274.5022,16.6642,2.6528,14.0114,12.1748,16.5810,2.5349,14.0461,0.0566,274.5022,NA,NA,NA
BioshockHD.exe,19556,0xA8A6B98,DXGI,0,0,1,Hardware Composed: Independent Flip,293.8463,NA,16.69130000000000,16.62350000000000,13.99290000000000,25.94350000000000,26.0693,291.1664,16.6728,2.6799,13.9929,12.0916,16.5318,2.5673,13.9645,0.0407,291.1664,NA,33.5431,NA
BioshockHD.exe,19556,0xA8A6B98,DXGI,0,0,1,Hardware Composed: Independent Flip,310.6030,NA,16.75670000000000,16.60670000000000,13.89590000000000,25.90960000000000,25.9193,307.8392,16.6597,2.7638,13.8959,11.9506,16.7228,2.7411,13.9817,0.0661,307.8392,NA,32.1763,NA
BioshockHD.exe,19556,0xA8A6B98,DXGI,0,0,1,Hardware Composed: Independent Flip,327.2131,NA,16.61010000000000,16.63390000000000,13.94940000000000,25.83470000000000,25.9431,324.4989,16.6636,2.7142,13.9494,12.0137,16.5352,2.5944,13.9408,0.0258,324.4989,NA,NA,NA
