Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,44.9980,NA,23.02120000000000,22.73110000000000,6.28250000000000,28.82960000000000,28.9014,40.9451,10.3354,4.0529,6.2825,10.1406,22.7419,5.6183,17.1236,NA,40.9451,NA,NA,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,55.4977,NA,10.49970000000000,10.15090000000000,18.53760000000000,28.46610000000000,28.5526,51.2805,22.7548,4.2172,18.5376,22.5471,10.1362,5.5257,4.6105,0.1845,51.2805,NA,NA,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,78.2833,NA,22.78560000000000,22.66340000000000,5.87400000000000,28.33590000000000,28.4304,74.0353,10.1220,4.2480,5.8740,9.9285,22.6554,5.5418,17.1136,0.0914,74.0353,NA,NA,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,88.3702,NA,10.08690000000000,10.09150000000000,18.48500000000000,28.35150000000000,28.4350,84.1573,22.6979,4.2129,18.4850,22.4619,10.1025,5.5668,4.5357,0.0305,84.1573,NA,NA,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,111.0893,NA,22.71910000000000,22.60210000000000,5.81510000000000,28.24120000000000,28.3180,106.8552,10.0492,4.2341,5.8151,9.8665,22.6088,5.5741,17.0347,0.0958,106.8552,NA,NA,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,120.8766,NA,9.78730000000000,10.24050000000000,18.69500000000000,28.71120000000000,28.7712,116.9044,22.6672,3.9722,18.6950,22.4261,10.2573,5.6678,4.5895,-0.1913,116.9044,NA,NA,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,144.0226,NA,23.14600000000000,22.60500000000000,5.78530000000000,28.15640000000000,28.2302,139.5716,10.2363,4.4510,5.7853,10.0162,22.5912,5.5169,17.0743,0.0622,139.5716,NA,NA,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,154.2150,NA,10.19240000000000,13.09140000000000,18.22600000000000,28.09660000000000,31.1292,149.8079,22.6331,4.4071,18.2260,22.3711,10.1326,5.5706,4.5620,-2.8551,149.8079,NA,NA,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,176.7804,NA,22.56540000000000,19.74810000000000,8.69400000000000,28.22160000000000,28.3119,172.4410,13.0334,4.3394,8.6940,9.8706,22.6904,5.4868,17.2036,2.8850,172.4410,NA,NA,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,189.7345,NA,12.95410000000000,13.14960000000000,15.47030000000000,25.49490000000000,28.5074,185.4744,19.7304,4.2601,15.4703,19.5276,10.2274,5.6014,4.6260,-0.1162,185.4744,NA,NA,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,209.2799,NA,19.54540000000000,19.76470000000000,9.06270000000000,28.66250000000000,28.7267,205.2048,13.1378,4.0751,9.0627,10.0246,22.7130,5.5529,17.1601,-0.0343,205.2048,NA,NA,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,222.4532,NA,13.17330000000000,13.14660000000000,15.70630000000000,25.67580000000000,28.7000,218.3426,19.8169,4.1106,15.7063,19.5998,10.1866,5.5916,4.5950,-0.0088,218.3426,NA,NA,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,242.3888,NA,19.93560000000000,19.72190000000000,8.86640000000000,28.40010000000000,28.4863,238.1595,13.0957,4.2293,8.8664,9.9695,22.6599,5.5314,17.1285,0.0950,238.1595,NA,NA,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,255.5126,NA,13.12380000000000,13.20440000000000,15.50890000000000,25.55160000000000,28.5669,251.2552,19.7663,4.2574,15.5089,19.5337,10.2753,5.5305,4.7448,-0.1087,251.2552,NA,NA,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,275.4955,NA,19.98290000000000,19.84770000000000,8.68340000000000,28.34100000000000,28.4317,271.0215,13.1574,4.4740,8.6834,10.0427,22.7723,5.5407,17.2316,-0.0814,271.0215,NA,NA,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,288.5335,NA,13.03800000000000,13.17440000000000,15.52900000000000,25.55780000000000,28.5681,284.1789,19.8836,4.3546,15.5290,19.6576,10.2548,5.6099,4.6449,-0.0170,284.1789,NA,NA,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,308.4022,NA,19.86870000000000,19.75910000000000,8.89380000000000,28.37640000000000,28.4585,304.0625,13.2335,4.3397,8.8938,10.0288,22.6873,5.5418,17.1455,0.1245,304.0625,NA,NA,NA
