Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,62.9425,NA,28.66710000000000,20.17890000000000,16.39460000000000,34.84600000000000,36.4628,58.6113,20.7258,4.3312,16.3946,15.9399,23.2373,6.0016,17.2357,NA,58.6113,NA,37.8783,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,83.7942,NA,20.85170000000000,22.47330000000000,15.71200000000000,37.99820000000000,38.0844,79.3371,20.1691,4.4571,15.7120,18.4514,24.0039,6.0409,17.9630,-1.7475,79.3371,NA,56.3583,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,103.7109,NA,19.91670000000000,26.22450000000000,18.27360000000000,41.37570000000000,44.3922,99.5062,22.4783,4.2047,18.2736,22.2862,23.2942,6.0524,17.2418,-6.0554,99.5062,NA,44.5762,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,126.0985,NA,22.38760000000000,20.09380000000000,22.11240000000000,42.01840000000000,42.0984,121.9845,26.2264,4.1140,22.1124,23.1021,23.0303,6.3234,16.7069,2.3845,121.9845,NA,44.6721,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,152.4646,NA,26.36610000000000,24.96960000000000,15.83960000000000,39.06720000000000,40.7019,148.2109,20.0933,4.2537,15.8396,19.9060,23.4149,6.0620,17.3529,1.2568,148.2109,NA,41.6459,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,172.3054,NA,19.84080000000000,22.01280000000000,20.95860000000000,42.79430000000000,42.8739,168.3042,24.9598,4.0012,20.9586,23.2276,23.5679,6.0327,17.5352,-1.9195,168.3042,NA,43.6572,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,197.5096,NA,25.20420000000000,23.23460000000000,17.76670000000000,40.84220000000001,40.9043,193.2640,22.0123,4.2456,17.7667,21.8357,23.2521,6.0071,17.2450,1.7252,193.2640,NA,42.8834,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,219.5154,NA,22.00580000000000,24.83710000000000,19.03310000000000,42.09060000000000,43.7356,215.2763,23.2722,4.2391,19.0331,23.0755,23.2542,6.0658,17.1884,-2.8248,215.2763,NA,45.7267,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,242.5791,NA,23.06370000000000,21.75000000000000,20.77150000000000,42.32240000000000,42.4219,238.5485,24.8021,4.0306,20.7715,23.0575,23.2955,6.0215,17.2740,1.5222,238.5485,NA,62.4799,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,267.4863,NA,24.90720000000000,22.75260000000000,17.61730000000000,40.20410000000000,40.2673,263.3506,21.7530,4.1357,17.6173,21.5509,22.7889,5.9805,16.8084,2.0495,263.3506,NA,46.1904,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,289.5197,NA,22.03340000000000,24.00340000000000,18.35170000000000,40.75020000000000,42.2373,285.1036,22.7678,4.4161,18.3517,22.5868,22.5795,6.0690,16.5105,-2.2504,285.1036,NA,48.2118,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,312.0823,NA,22.56260000000000,21.92000000000000,19.77310000000000,41.51310000000000,41.5947,307.8714,23.9840,4.2109,19.7731,22.3985,23.3255,6.0096,17.3159,0.8478,307.8714,NA,42.1536,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,336.0310,NA,23.94870000000000,23.27790000000000,17.75040000000000,40.82130000000000,40.9239,331.8554,21.9260,4.1756,17.7504,21.7400,23.2569,6.0110,17.2459,0.7061,331.8554,NA,44.4352,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,357.9440,NA,21.91300000000000,24.82280000000000,19.11290000000000,42.20260000000000,43.8337,353.7814,23.2755,4.1626,19.1129,23.0709,23.2943,6.0390,17.2553,-2.8968,353.7814,NA,51.2649,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,381.6544,NA,23.71040000000000,21.62690000000000,20.26250000000000,41.67690000000000,41.7502,377.0569,24.8600,4.5975,20.2625,23.0897,23.1847,5.9791,17.2056,1.6486,377.0569,NA,45.8849,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,406.4338,NA,24.77940000000000,22.70190000000000,17.10810000000000,39.59280000000000,39.6727,401.9169,21.6250,4.5169,17.1081,21.4144,22.6953,5.9949,16.7004,2.1581,401.9169,NA,47.5233,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,427.9050,NA,21.47120000000000,24.73120000000000,18.30490000000000,41.34530000000000,42.9327,423.5419,22.6680,4.3631,18.3049,22.4847,23.2237,6.0287,17.1950,-3.1062,423.5419,NA,47.3236,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,450.3488,NA,22.44380000000000,21.62960000000000,20.59300000000000,42.04150000000000,42.1185,446.2099,24.7319,4.1389,20.5930,23.0404,23.1400,5.9938,17.1462,1.0384,446.2099,NA,43.9467,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,475.0691,NA,24.72030000000000,23.20680000000000,17.50730000000000,40.52900000000000,40.6050,470.9418,21.6346,4.1273,17.5073,21.4485,23.2078,5.9953,17.2125,1.5251,470.9418,NA,43.1560,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,496.7169,NA,21.64780000000000,24.78560000000000,19.05530000000000,42.11360000000001,43.7428,492.5764,23.1958,4.1405,19.0553,23.0217,23.2324,5.9917,17.2407,-3.1510,492.5764,NA,44.9370,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,519.7090,NA,22.99210000000000,21.77850000000000,20.88060000000000,42.44900000000001,42.5292,515.7722,24.8174,3.9368,20.8806,23.0583,23.3275,5.9852,17.3423,1.4173,515.7722,NA,49.7212,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,545.9431,NA,26.23410000000000,23.28090000000000,16.40080000000000,39.51210000000000,39.5760,540.5896,21.7543,5.3535,16.4008,21.5684,23.2972,5.9916,17.3056,1.5365,540.5896,NA,40.9480,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,566.4863,NA,20.54320000000000,24.45050000000000,19.14560000000000,41.93160000000000,43.4833,562.3439,23.2880,4.1424,19.1456,23.1113,22.9627,6.1551,16.8076,-2.6962,562.3439,NA,45.4498,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,589.7249,NA,23.23860000000000,22.60330000000000,20.33980000000000,42.74380000000000,42.8480,585.6319,24.4328,4.0930,20.3398,22.7860,24.0508,5.8709,18.1799,0.6847,585.6319,NA,43.0530,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,614.2533,NA,24.52840000000000,23.21510000000000,18.44450000000000,41.49760000000000,41.5347,610.0647,22.6331,4.1886,18.4445,22.4040,23.2822,6.0284,17.2538,1.2177,610.0647,NA,42.2648,NA
BioshockHD.exe,18704,0xB251BA8,DXGI,0,0,1,Hardware Composed: Independent Flip,637.0418,NA,22.78850000000000,24.80140000000000,18.85720000000000,41.91190000000000,43.5476,632.6978,23.2012,4.3440,18.8572,23.0531,23.2028,6.0008,17.2020,-2.1683,632.6978,NA,44.0659,NA
