Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
SandFall-Win64-Shipping.exe,14000,0x22C9FBDC440,DXGI,0,512,1,Hardware: Independent Flip,17.2914,1.4207,1.2669,0.1538,25.0427,0.2012,0.1955,0.0057,39.8162,7.4293,NA,17.2914,14.5723,NA,NA
SandFall-Win64-Shipping.exe,14000,0x22C9FBDC440,DXGI,0,512,1,Hardware: Independent Flip,18.7121,23.3170,23.0552,0.2618,23.8232,22.0003,21.9917,0.0086,45.8248,8.0753,-6.0086,18.7121,0.0013,NA,NA
SandFall-Win64-Shipping.exe,14000,0x22C9FBDC440,DXGI,0,512,1,Hardware: Independent Flip,42.0291,0.9418,0.6624,0.2794,22.5065,1.3250,1.3250,0.0000,30.5831,8.0806,15.2417,42.0291,6.7516,NA,NA
SandFall-Win64-Shipping.exe,14000,0x22C9FBDC440,DXGI,0,512,1,Hardware: Independent Flip,42.9709,0.3797,0.2062,0.1735,22.8897,0.1134,0.1091,0.0043,37.7219,8.8888,-7.1388,42.9709,14.7188,NA,NA
SandFall-Win64-Shipping.exe,14000,0x22C9FBDC440,DXGI,0,512,1,Hardware: Independent Flip,43.3506,25.0561,24.7990,0.2571,22.6234,23.6063,23.5985,0.0078,46.2310,8.0394,-8.5091,43.3506,0.0013,NA,NA
SandFall-Win64-Shipping.exe,14000,0x22C9FBDC440,DXGI,0,512,1,Hardware: Independent Flip,68.4067,0.6208,0.4486,0.1722,21.1736,1.3136,1.3136,0.0000,29.2143,8.0082,17.0167,68.4067,6.7271,NA,NA
SandFall-Win64-Shipping.exe,14000,0x22C9FBDC440,DXGI,0,512,1,Hardware: Independent Flip,69.0275,0.3172,0.1692,0.1480,21.8664,0.1328,0.1328,0.0000,36.6017,8.5915,-7.3874,69.0275,14.6025,NA,NA
SandFall-Win64-Shipping.exe,14000,0x22C9FBDC440,DXGI,0,512,1,Hardware: Independent Flip,69.3447,22.0548,21.7195,0.3353,21.6820,23.1923,23.1867,0.0056,44.8760,8.0710,-8.2743,69.3447,0.0017,NA,NA
SandFall-Win64-Shipping.exe,14000,0x22C9FBDC440,DXGI,0,512,1,Hardware: Independent Flip,91.3995,0.8093,0.5346,0.2747,22.8195,1.3871,1.3871,0.0000,30.8922,8.0249,13.9838,91.3995,6.6856,NA,NA
SandFall-Win64-Shipping.exe,14000,0x22C9FBDC440,DXGI,0,512,1,Hardware: Independent Flip,92.2088,0.5497,0.2782,0.2715,23.3973,0.1842,0.1811,0.0031,38.1078,8.4074,-7.2156,92.2088,14.5263,NA,NA
SandFall-Win64-Shipping.exe,14000,0x22C9FBDC440,DXGI,0,512,1,Hardware: Independent Flip,92.7585,24.1138,23.6843,0.4295,23.0318,22.9328,22.9273,0.0055,45.9655,10.2689,-7.8577,92.7585,0.0009,NA,NA
SandFall-Win64-Shipping.exe,14000,0x22C9FBDC440,DXGI,0,512,1,Hardware: Independent Flip,116.8723,1.3030,0.9434,0.3596,21.8508,1.3364,1.3364,0.0000,32.1206,11.1188,13.8449,116.8723,8.9334,NA,NA
SandFall-Win64-Shipping.exe,14000,0x22C9FBDC440,DXGI,0,512,1,Hardware: Independent Flip,118.1753,0.5481,0.3173,0.2308,21.8842,0.1376,0.1354,0.0022,41.9364,2.4822,-9.8158,118.1753,19.9146,NA,NA
SandFall-Win64-Shipping.exe,14000,0x22C9FBDC440,DXGI,0,512,1,Hardware: Independent Flip,118.7234,24.3317,23.8254,0.5063,21.4737,22.3963,22.3900,0.0063,43.8705,9.0752,-1.9341,118.7234,0.0005,NA,NA
SandFall-Win64-Shipping.exe,14000,0x22C9FBDC440,DXGI,0,512,1,Hardware: Independent Flip,143.0551,1.2008,0.9546,0.2462,19.5383,1.3583,1.3583,0.0000,28.6140,9.0807,15.2565,143.0551,7.7174,NA,NA
