Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,73.4790,0.3098,0.1596,0.1502,34.4517,0.2142,0.2070,0.0072,50.8066,16.1995,NA,73.4790,16.1407,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,73.7888,31.8344,31.5745,0.2599,34.3561,30.8393,30.8352,0.0041,66.6963,14.9867,-15.8897,73.7888,1.5009,53.5347,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,105.6232,0.3141,0.1662,0.1479,33.3610,0.1905,0.1851,0.0054,49.8486,16.3132,16.8477,105.6232,16.2971,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,105.9373,30.3225,30.0710,0.2515,33.2374,31.1092,31.1030,0.0062,65.8477,15.7746,-15.9991,105.9373,1.5011,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,136.2598,0.3090,0.1609,0.1481,34.0241,0.1467,0.1398,0.0069,51.2998,15.8584,14.5479,136.2598,17.1290,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,136.5688,31.2823,30.9464,0.3359,33.8618,31.4867,31.4810,0.0057,66.8492,18.4210,-15.5494,136.5688,1.5007,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,167.8511,0.4123,0.2145,0.1978,34.0662,0.2214,0.2194,0.0020,53.9879,12.9240,12.8613,167.8511,19.7003,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,168.2634,30.9117,30.6626,0.2491,33.8753,31.1234,31.1187,0.0047,66.4996,16.4950,-12.5117,168.2634,1.5009,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,199.1751,0.3156,0.1630,0.1526,34.0870,0.2211,0.2185,0.0026,52.0829,14.9231,14.4167,199.1751,17.7748,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,199.4907,31.8043,31.5003,0.3040,33.9925,31.1969,31.1874,0.0095,66.6904,16.0479,-14.6075,199.4907,1.5010,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,231.2950,0.4523,0.2303,0.2220,33.3851,0.1756,0.1696,0.0060,50.9340,15.3173,15.7564,231.2950,17.3733,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,231.7473,35.2942,35.0447,0.2495,33.1084,31.1891,31.1830,0.0061,65.7990,15.6260,-14.8650,231.7473,1.5015,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,267.0415,0.3161,0.1624,0.1537,29.0033,0.2069,0.2048,0.0021,46.1308,15.8802,19.6682,267.0415,16.9206,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,267.3576,35.1115,34.8510,0.2605,28.8941,31.2998,31.2891,0.0107,61.6949,15.3538,-15.5641,267.3576,1.5010,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,302.4691,0.3296,0.1732,0.1564,25.0824,0.2277,0.2257,0.0020,41.9372,15.6046,19.7577,302.4691,16.6271,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,302.7987,29.4635,29.2160,0.2475,24.9805,30.7309,30.7235,0.0074,57.2122,15.1387,-15.2750,302.7987,1.5008,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,332.2622,0.3025,0.1553,0.1472,26.2479,0.2037,0.2018,0.0019,42.8874,15.8321,14.3248,332.2622,16.4358,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,332.5647,30.0168,29.7641,0.2527,26.1491,30.7670,30.7560,0.0110,58.4170,15.0618,-15.5296,332.5647,1.5009,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,362.5815,0.3013,0.1540,0.1473,26.8993,0.1748,0.1686,0.0062,43.4620,16.1248,14.9550,362.5815,16.3879,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,362.8828,32.9546,32.6972,0.2574,26.7728,31.0112,30.9942,0.0170,59.2855,14.9921,-15.8235,362.8828,1.5015,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,395.8374,0.3346,0.1759,0.1587,24.8294,0.1991,0.1968,0.0023,41.3230,19.5854,17.9625,395.8374,16.2945,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,396.1720,32.0920,31.8330,0.2590,24.6939,34.3791,34.3273,0.0518,60.5738,14.9409,-19.2508,396.1720,1.5008,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,428.2640,0.3521,0.1987,0.1534,26.9810,0.2032,0.2016,0.0016,43.4227,21.1022,17.1511,428.2640,16.2385,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,428.6161,34.1296,33.8151,0.3145,26.8321,35.8399,35.8312,0.0087,64.1728,14.8311,-20.7501,428.6161,1.5008,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,462.7457,0.3799,0.2175,0.1624,28.5424,0.1857,0.1838,0.0019,44.8743,15.7429,19.2985,462.7457,16.1462,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,463.1256,31.0112,30.7385,0.2727,28.3482,30.3880,30.3807,0.0073,60.2373,14.7159,-15.3630,463.1256,1.5011,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,494.1368,0.3217,0.1620,0.1597,27.7250,0.2033,0.2013,0.0020,43.9420,16.5549,16.2953,494.1368,16.0137,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,494.4585,30.5063,30.2413,0.2650,27.6066,31.0672,31.0569,0.0103,60.1752,14.6750,-16.2332,494.4585,1.5014,51.6996,NA
