Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,57.0771,0.3423,0.1724,0.1699,28.0054,0.1411,0.1338,0.0073,42.2403,14.2783,NA,57.0771,14.0938,46.7095,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,57.4194,31.2388,30.8475,0.3913,27.8042,26.8712,26.8604,0.0108,56.1763,12.6183,-13.9360,57.4194,1.5009,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,88.6582,0.4614,0.2329,0.2285,23.4366,0.1708,0.1644,0.0064,37.5558,13.5007,18.6205,88.6582,13.9484,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,89.1196,31.2721,30.9731,0.2990,23.1460,25.9485,25.9426,0.0059,50.5951,15.2723,-13.0393,89.1196,1.5006,25.1039,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,120.3917,0.3348,0.1783,0.1565,17.8224,0.1623,0.1563,0.0060,34.5953,11.1532,15.9998,120.3917,16.6106,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,120.7265,26.3844,26.1167,0.2677,17.6499,26.2630,26.2520,0.0110,45.4137,13.2177,-10.8184,120.7265,1.5008,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,147.1109,0.3429,0.1804,0.1625,17.5285,0.2033,0.1970,0.0063,32.2470,12.2709,13.1667,147.1109,14.5152,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,147.4538,24.0118,23.7068,0.3050,17.3889,25.2850,25.2704,0.0146,44.1750,12.8132,-11.9280,147.4538,1.5011,48.0092,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,171.4656,0.3323,0.1681,0.1642,18.6621,0.2007,0.1991,0.0016,32.9764,12.4614,11.1986,171.4656,14.1136,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,171.7979,25.9704,25.7061,0.2643,18.5305,25.0736,25.0654,0.0082,45.1055,12.6130,-12.1291,171.7979,1.5014,60.2871,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,197.7683,0.3135,0.1591,0.1544,17.6337,0.1430,0.1362,0.0068,31.7481,14.9751,13.3574,197.7683,13.9714,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,198.0818,27.2241,26.9533,0.2708,17.4632,27.4454,25.8417,1.6037,46.4097,12.4483,-14.6616,198.0818,1.5011,42.8839,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,225.3059,0.3333,0.1650,0.1683,17.6845,0.1746,0.1686,0.0060,31.6339,14.7313,14.7758,225.3059,13.7748,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,225.6392,27.4125,27.1549,0.2576,17.5258,27.0055,25.1775,1.8280,46.0319,12.3398,-14.3980,225.6392,1.5006,44.0667,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,253.0517,0.3197,0.1526,0.1671,17.1188,0.1741,0.1687,0.0054,30.9592,15.6062,15.0727,253.0517,13.6663,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,253.3714,27.3306,27.0799,0.2507,16.9732,27.7719,25.4910,2.2809,46.2457,12.0901,-15.2865,253.3714,1.5006,42.0157,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,280.7020,0.3274,0.1529,0.1745,17.4145,0.1967,0.1967,0.0000,31.0052,14.7887,15.2405,280.7020,13.3940,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,281.0294,26.6905,26.4050,0.2855,17.2838,26.6817,25.9650,0.7167,45.4665,11.8698,-14.4613,281.0294,1.5010,39.8940,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,307.7199,0.3170,0.1566,0.1604,17.2750,0.1386,0.1356,0.0030,30.6458,13.8776,14.8207,307.7199,13.2322,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,308.0369,26.4929,26.2415,0.2514,17.0966,26.5766,25.6227,0.9539,44.2064,12.6998,-13.5606,308.0369,0.5332,40.6419,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,334.5298,0.3672,0.1640,0.2032,17.1803,0.1910,0.1860,0.0050,30.4133,13.0494,13.7931,334.5298,13.0420,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,334.8970,26.2065,25.9602,0.2463,17.0041,26.0903,26.0797,0.0106,43.0955,13.0532,-12.6822,334.8970,0.0011,39.3905,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,361.1035,0.3293,0.1580,0.1713,16.8879,0.1959,0.1937,0.0022,29.9422,13.0360,13.1533,361.1035,12.8584,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,361.4328,24.6863,24.4257,0.2606,16.7545,25.8934,25.8821,0.0113,42.6489,12.9396,-12.7067,361.4328,0.0010,39.4803,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,386.1191,0.6629,0.2042,0.4587,17.9616,0.1715,0.1696,0.0019,30.9022,13.6932,11.7467,386.1191,12.7691,NA,NA
SandFall-Win64-Shipping.exe,31024,0x13F96A7D0D0,DXGI,0,512,1,Hardware: Independent Flip,386.7820,25.9128,25.6315,0.2813,17.4702,26.4615,26.2324,0.2291,43.9325,12.9735,-13.0303,386.7820,0.0008,40.1191,NA
