Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
SandFall-Win64-Shipping.exe,32396,0x27E295FDE80,DXGI,0,0,1,Hardware Composed: Independent Flip,25.2221,NA,10.72750000000000,17.16370000000000,0.28800000000000,9.60220000000000,12.2341,14.7629,10.7472,10.4592,0.2880,5.4595,14.6019,14.5972,0.0047,NA,14.7629,NA,NA,NA
SandFall-Win64-Shipping.exe,32396,0x27E295FDE80,DXGI,0,0,1,Hardware Composed: Independent Flip,35.2564,NA,10.03430000000000,11.72170000000000,0.26040000000000,13.84640000000000,13.9215,25.5101,10.0067,9.7463,0.2604,9.3142,14.2785,14.2764,0.0021,-0.9745,25.5101,NA,NA,NA
SandFall-Win64-Shipping.exe,32396,0x27E295FDE80,DXGI,0,0,1,Hardware Composed: Independent Flip,51.0493,NA,15.79290000000000,14.51500000000000,0.26300000000000,12.53950000000000,12.6436,35.5168,15.7955,15.5325,0.2630,13.5860,14.4860,14.4784,0.0076,-4.5083,35.5168,NA,NA,NA
SandFall-Win64-Shipping.exe,32396,0x27E295FDE80,DXGI,0,0,1,Hardware Composed: Independent Flip,66.0994,NA,15.05010000000000,14.16690000000000,0.25850000000000,11.62400000000000,11.7604,51.3123,15.0456,14.7871,0.2585,12.2765,14.1346,14.1322,0.0024,1.6286,51.3123,NA,NA,NA
SandFall-Win64-Shipping.exe,32396,0x27E295FDE80,DXGI,0,0,1,Hardware Composed: Independent Flip,81.4936,NA,15.39420000000000,14.09190000000000,0.42320000000000,10.39080000000000,10.4581,66.3579,15.5589,15.1357,0.4232,11.3655,14.1610,14.1593,0.0017,0.9537,66.3579,NA,NA,NA
SandFall-Win64-Shipping.exe,32396,0x27E295FDE80,DXGI,0,0,1,Hardware Composed: Independent Flip,95.0326,NA,13.53900000000000,14.27680000000000,0.28600000000000,10.96650000000000,11.1959,81.9168,13.4018,13.1158,0.2860,9.9676,14.1147,14.1108,0.0039,1.2821,81.9168,NA,NA,NA
SandFall-Win64-Shipping.exe,32396,0x27E295FDE80,DXGI,0,0,1,Hardware Composed: Independent Flip,112.5388,NA,17.50620000000000,14.18560000000000,0.30430000000000,7.81330000000000,7.8753,95.3186,17.5245,17.2202,0.3043,10.6805,14.3530,14.3473,0.0057,-0.7838,95.3186,NA,NA,NA
SandFall-Win64-Shipping.exe,32396,0x27E295FDE80,DXGI,0,0,1,Hardware Composed: Independent Flip,130.3800,NA,17.84120000000000,15.13940000000000,0.33580000000000,5.05130000000000,5.1735,112.8431,17.8727,17.5369,0.3358,7.5090,15.0792,14.3271,0.7521,2.3851,112.8431,NA,NA,NA
SandFall-Win64-Shipping.exe,32396,0x27E295FDE80,DXGI,0,0,1,Hardware Composed: Independent Flip,147.5622,NA,17.18220000000000,16.67240000000000,0.47730000000000,4.27700000000000,4.6637,130.7158,17.3237,16.8464,0.4773,4.7155,16.4079,14.3944,2.0135,1.2003,130.7158,NA,NA,NA
SandFall-Win64-Shipping.exe,32396,0x27E295FDE80,DXGI,0,0,1,Hardware Composed: Independent Flip,162.7472,NA,15.18500000000000,15.70740000000000,0.26770000000000,5.15610000000000,5.1861,148.0395,14.9754,14.7077,0.2677,3.7997,16.0641,14.3426,1.7215,1.6163,148.0395,NA,NA,NA
