Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,87.2908,0.3155,0.1623,0.1532,36.2995,0.1643,0.1623,0.0020,54.4024,17.6713,NA,87.2908,17.9386,NA,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,87.6063,34.5129,34.0732,0.4397,36.1483,34.2554,34.2489,0.0065,71.7582,16.4884,-17.3558,87.6063,1.3545,68.7738,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,122.1192,0.3811,0.2098,0.1713,35.8908,0.1587,0.1559,0.0028,53.7337,17.9622,18.0245,122.1192,17.6842,NA,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,122.5003,34.5092,34.2171,0.2921,35.6684,34.8733,34.8708,0.0025,71.3148,17.1123,-17.5811,122.5003,0.7731,NA,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,157.0095,0.3232,0.1694,0.1538,36.0325,0.1783,0.1763,0.0020,53.9179,18.0100,17.3969,157.0095,17.7071,NA,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,157.3327,34.0966,33.8095,0.2871,35.8876,35.3487,35.3457,0.0030,71.6047,20.6169,-17.6868,157.3327,0.3684,NA,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,191.4293,0.3714,0.1903,0.1811,37.1397,0.1151,0.1130,0.0021,58.1250,14.8446,13.4797,191.4293,20.8702,NA,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,191.8007,34.9967,34.7473,0.2494,36.8834,34.2143,34.2117,0.0026,72.5982,18.4615,-14.4732,191.8007,1.5005,NA,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,226.7974,0.3164,0.1644,0.1520,36.1010,0.1598,0.1571,0.0027,56.0630,15.9050,16.5352,226.7974,19.8022,NA,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,227.1138,34.1853,33.9301,0.2552,35.9444,34.2061,34.2001,0.0060,71.6516,17.2653,-15.5886,227.1138,1.5011,71.1859,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,261.2991,0.3585,0.1720,0.1865,35.9652,0.1558,0.1526,0.0032,54.7316,17.1624,16.9200,261.2991,18.6106,NA,NA
