Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,13.0428,0.3279,0.1661,0.1618,19.5700,0.1790,0.1758,0.0032,30.2777,11.7662,NA,13.0428,10.5287,NA,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,13.3707,17.5303,17.2717,0.2586,19.4211,21.2114,21.2021,0.0093,41.7160,9.6441,-11.4383,13.3707,1.0835,NA,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,30.9010,0.4433,0.2305,0.2128,23.1022,0.1668,0.1668,0.0000,33.8298,12.6417,7.8862,30.9010,10.5608,NA,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,31.3443,30.2790,29.8469,0.4321,22.8257,22.1257,22.1121,0.0136,46.0282,9.6301,-12.1984,31.3443,1.0768,NA,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,61.6233,0.6876,0.3896,0.2980,14.6724,0.1363,0.1330,0.0033,25.3793,12.3623,20.6489,61.6233,10.5706,NA,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,62.3109,20.1577,19.6609,0.4968,14.1211,21.8963,21.8880,0.0083,37.0540,9.5897,-11.6747,62.3109,1.0366,36.3290,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,82.4686,0.4488,0.2366,0.2122,15.8597,0.1441,0.1416,0.0025,26.4860,12.5880,10.5680,82.4686,10.4822,NA,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,82.9174,23.9956,23.5388,0.4568,15.5550,22.0494,22.0376,0.0118,38.6252,9.5775,-12.1392,82.9174,1.0208,31.4455,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,106.9130,0.4775,0.2792,0.1983,13.6088,0.1675,0.1635,0.0040,24.2071,12.8544,14.4181,106.9130,10.4308,NA,NA
SandFall-Win64-Shipping.exe,27068,0x1FE3BB43140,DXGI,0,512,1,Hardware: Independent Flip,107.3905,17.1097,16.6125,0.4972,13.2988,22.3100,22.3020,0.0080,36.5840,11.9032,-12.3769,107.3905,0.9752,28.9418,NA
