Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,46.4515,0.5364,0.3292,0.2072,23.4694,0.1317,0.1317,0.0000,35.2887,12.8374,NA,46.4515,11.6876,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,46.9879,21.3418,21.0868,0.2550,23.0647,23.0320,23.0230,0.0090,47.5897,10.0343,-12.3010,46.9879,1.4930,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,68.3297,0.3560,0.1635,0.1925,24.7549,0.1270,0.1241,0.0029,36.2822,12.3402,11.3075,68.3297,11.4003,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,68.6857,22.7004,22.4508,0.2496,24.5259,22.6909,22.6811,0.0098,48.2664,9.6229,-11.9842,68.6857,1.0496,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,91.3861,0.3245,0.1682,0.1563,24.5164,0.1327,0.1304,0.0023,35.1889,14.2509,13.0775,91.3861,10.5398,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,91.7106,27.2923,27.0466,0.2457,24.3246,23.4518,23.4453,0.0065,49.1153,9.8948,-13.9264,91.7106,1.3389,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,119.0029,0.3146,0.1622,0.1524,20.4841,0.1370,0.1343,0.0027,31.7178,13.3493,17.3975,119.0029,11.0967,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,119.3175,19.1945,18.9507,0.2438,20.3065,23.2288,23.2213,0.0075,44.7525,9.7765,-13.0347,119.3175,1.2172,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,138.5120,0.3208,0.1642,0.1566,24.3408,0.1395,0.1361,0.0034,35.3345,13.8335,9.4180,138.5120,10.8542,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,138.8328,23.8720,23.6154,0.2566,24.1595,23.4024,23.3955,0.0069,48.8472,9.8245,-13.5127,138.8328,1.2853,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,162.7048,0.6262,0.4491,0.1771,23.6899,0.1244,0.1212,0.0032,34.7997,13.3106,14.0475,162.7048,10.9854,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,163.3310,22.7970,22.5541,0.2429,23.1881,23.0977,23.0900,0.0077,47.4841,9.7565,-12.6844,163.3310,1.1983,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,186.1280,0.6191,0.4401,0.1790,23.4888,0.1322,0.1285,0.0037,34.4436,13.5816,13.0405,186.1280,10.8226,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,186.7471,23.5259,23.2680,0.2579,23.0019,23.1684,23.1582,0.0102,47.4061,9.7937,-12.9625,186.7471,1.2358,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,210.2730,0.3628,0.2107,0.1521,22.6444,0.1512,0.1473,0.0039,33.6739,13.7872,13.7322,210.2730,10.8783,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,210.6358,22.5257,22.0911,0.4346,22.4328,23.4080,23.4038,0.0042,47.0983,9.8830,-13.4244,210.6358,1.2575,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,233.1615,0.3459,0.1760,0.1699,23.3151,0.1575,0.1533,0.0042,34.4556,14.9049,12.6427,233.1615,10.9830,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,233.5074,25.4891,24.7443,0.7448,23.1267,25.8876,25.8794,0.0082,49.0146,13.0317,-14.5590,233.5074,0.0003,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,258.9965,0.6482,0.2793,0.3689,23.5252,0.1029,0.1000,0.0029,36.5572,10.1680,12.4574,258.9965,12.9291,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,259.6447,21.7254,21.4845,0.2409,22.9799,23.0967,23.0919,0.0048,46.0770,13.0613,-9.5198,259.6447,0.0004,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,281.3701,0.3564,0.1767,0.1797,24.3512,0.1406,0.1374,0.0032,37.4129,10.0623,8.6641,281.3701,12.9211,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,281.7265,23.5287,23.2851,0.2436,24.1354,22.9825,22.9758,0.0067,47.1188,11.6774,-9.7059,281.7265,0.0009,NA,NA
