Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,27.2693,0.4832,0.2439,0.2393,13.2728,0.1374,0.1352,0.0022,22.0168,8.5964,NA,27.2693,8.6066,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,27.7525,17.3305,16.9515,0.3790,12.9270,17.2021,17.1940,0.0081,30.1300,8.6562,-8.1132,27.7525,0.0009,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,45.0830,0.9219,0.3054,0.6165,12.7986,0.1298,0.1279,0.0019,21.4557,8.9812,8.6743,45.0830,8.5273,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,46.0049,15.0498,14.5460,0.5038,12.0065,17.5074,17.5039,0.0035,29.5150,8.7514,-8.0593,46.0049,0.0011,30.2007,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,61.0547,0.3363,0.1658,0.1705,14.4641,0.1247,0.1220,0.0027,23.2166,8.1996,6.2984,61.0547,8.6278,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,61.3910,12.3899,12.1320,0.2579,14.2525,16.8264,16.8217,0.0047,31.0799,8.4831,-7.8633,61.3910,0.0010,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,73.7809,0.3821,0.1940,0.1881,18.6890,0.2201,0.2167,0.0034,27.1731,9.2647,3.9068,73.7809,8.2640,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,74.1630,21.7766,21.4955,0.2811,18.5270,17.5287,17.5255,0.0032,36.0557,8.8686,-8.8826,74.1630,NA,34.1508,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,95.9396,0.3639,0.1907,0.1732,14.2791,0.1539,0.1539,0.0000,23.1477,9.4528,12.9080,95.9396,8.7147,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,96.3035,21.8149,21.5474,0.2675,14.0691,18.1669,18.1589,0.0080,32.2366,9.1326,-9.0889,96.3035,0.0006,19.0943,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,118.1184,0.3344,0.1681,0.1663,10.4211,0.2284,0.2257,0.0027,19.5543,8.8698,12.6823,118.1184,8.9048,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,118.4528,17.7150,17.4217,0.2933,10.3151,17.7743,17.7661,0.0082,28.0897,8.9976,-8.5354,118.4528,0.0003,15.1063,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,136.1678,0.4458,0.1890,0.2568,10.3744,0.1578,0.1563,0.0015,19.3723,8.2117,8.7174,136.1678,8.8401,NA,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,136.6136,17.8369,17.5531,0.2838,10.0864,17.0508,17.0409,0.0099,27.1382,8.5728,-7.7659,136.6136,0.0010,11.3148,NA
SandFall-Win64-Shipping.exe,19588,0x2EC4BC3AB90,DXGI,0,512,1,Hardware: Independent Flip,154.4505,0.3525,0.1729,0.1796,9.3003,0.1426,0.1410,0.0016,17.8741,9.0487,9.2641,154.4505,8.4312,NA,NA
