Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,84.5761,NA,22.84490000000000,25.03170000000000,0.27020000000000,18.10790000000000,21.1210,62.0247,22.8216,22.5514,0.2702,15.6570,25.0023,24.9975,0.0048,NA,62.0247,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,111.9893,NA,27.41320000000000,24.89500000000000,0.26270000000000,15.60090000000000,18.6028,84.8463,27.4057,27.1430,0.2627,17.8377,24.9062,24.8905,0.0157,-2.0734,84.8463,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,143.0117,NA,31.02240000000000,30.38670000000000,0.27250000000000,14.96220000000000,17.9671,112.2520,31.0322,30.7597,0.2725,15.3382,30.3837,25.1861,5.1976,-2.9810,112.2520,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,169.3331,NA,26.32140000000000,26.15690000000000,0.26700000000000,14.78860000000000,17.8026,143.2842,26.3159,26.0489,0.2670,14.6897,26.1478,25.4799,0.6679,4.8753,143.2842,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,196.5820,NA,27.24890000000000,28.00630000000000,0.25230000000000,15.56310000000000,18.5600,169.6001,27.2342,26.9819,0.2523,14.5216,28.0234,25.5313,2.4921,-1.6904,169.6001,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,226.2098,NA,29.62780000000000,27.97500000000000,0.28990000000000,13.89820000000000,16.9072,196.8343,29.6654,29.3755,0.2899,15.3108,27.9629,25.8985,2.0644,-0.7408,196.8343,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,251.0597,NA,24.84990000000000,25.66030000000000,0.26830000000000,14.70650000000000,17.7176,226.4997,24.8283,24.5600,0.2683,13.6083,25.6582,24.4591,1.1991,4.0051,226.4997,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,278.3471,NA,27.28740000000000,27.00750000000000,0.25360000000000,14.43720000000000,17.4377,251.3280,27.2727,27.0191,0.2536,14.4382,27.0181,24.9128,2.1053,-2.1792,251.3280,NA,NA,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,304.3141,NA,25.96700000000000,26.57560000000000,0.28490000000000,15.03740000000000,18.0463,278.6007,25.9983,25.7134,0.2849,14.1836,26.5672,24.6459,1.9213,0.6971,278.6007,NA,56.1667,NA
SandFall-Win64-Shipping.exe,25572,0x1EC323F10E0,DXGI,0,0,1,Hardware Composed: Independent Flip,336.1022,NA,31.78810000000000,31.65470000000000,0.30560000000000,14.90550000000000,17.9129,304.5990,31.8088,31.5032,0.3056,14.7525,31.6562,25.3438,6.3124,-5.6564,304.5990,NA,NA,NA
